Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-08-12 15:00",98.063,98.084,98.052,98.065,0.002,0.00%,0
"2025-08-12 14:00",98.096,98.131,98.052,98.063,-0.034,-0.03%,0
"2025-08-12 13:00",98.059,98.122,98.019,98.097,0.038,+0.04%,0
"2025-08-12 12:00",98.006,98.069,98.006,98.059,0.053,+0.05%,0
"2025-08-12 11:00",98.069,98.114,97.97,98.006,-0.063,-0.06%,0
"2025-08-12 10:00",98.202,98.217,97.897,98.069,-0.132,-0.13%,0
"2025-08-12 09:00",98.253,98.326,98.176,98.201,-0.052,-0.05%,0
"2025-08-12 08:00",98.289,98.482,98.136,98.253,-0.036,-0.04%,0
"2025-08-12 07:00",98.575,98.598,98.196,98.289,-0.286,-0.29%,0
"2025-08-12 06:00",98.545,98.622,98.539,98.575,0.029,+0.03%,0
"2025-08-12 05:00",98.562,98.567,98.513,98.546,-0.016,-0.02%,0
"2025-08-12 04:00",98.501,98.596,98.48,98.562,0.061,+0.06%,0
"2025-08-12 03:00",98.46,98.53,98.458,98.501,0.041,+0.04%,0
"2025-08-12 02:00",98.552,98.554,98.438,98.46,-0.093,-0.09%,0
"2025-08-12 01:00",98.534,98.553,98.481,98.553,0.02,+0.02%,0
"2025-08-12 00:00",98.449,98.539,98.438,98.533,0.084,+0.09%,0
"2025-08-11 23:00",98.496,98.538,98.449,98.449,-0.045,-0.05%,0
"2025-08-11 22:00",98.467,98.511,98.457,98.494,0.027,+0.03%,0
"2025-08-11 21:00",98.495,98.507,98.459,98.467,-0.028,-0.03%,0
"2025-08-11 20:00",98.53,98.534,98.448,98.495,-0.035,-0.04%,0
"2025-08-11 19:00",98.496,98.541,98.478,98.53,0.034,+0.03%,0
"2025-08-11 18:00",98.507,98.509,98.487,98.496,-0.002,0.00%,0
"2025-08-11 17:00",98.499,98.499,98.485,98.498,0,0.00%,0
"2025-08-11 16:00",98.505,98.52,98.491,98.498,-0.007,-0.01%,0
"2025-08-11 15:00",98.578,98.581,98.478,98.505,-0.072,-0.07%,0
"2025-08-11 14:00",98.519,98.598,98.516,98.577,0.057,+0.06%,0
"2025-08-11 13:00",98.515,98.546,98.495,98.52,0.005,+0.01%,0
"2025-08-11 12:00",98.544,98.607,98.507,98.515,-0.029,-0.03%,0
"2025-08-11 11:00",98.56,98.584,98.512,98.544,-0.017,-0.02%,0
"2025-08-11 10:00",98.631,98.67,98.552,98.561,-0.072,-0.07%,0
"2025-08-11 09:00",98.474,98.665,98.464,98.633,0.159,+0.16%,0
"2025-08-11 08:00",98.461,98.489,98.413,98.474,0.013,+0.01%,0
"2025-08-11 07:00",98.404,98.509,98.388,98.461,0.057,+0.06%,0
"2025-08-11 06:00",98.266,98.442,98.265,98.404,0.138,+0.14%,0
"2025-08-11 05:00",98.286,98.289,98.243,98.266,-0.021,-0.02%,0
"2025-08-11 04:00",98.176,98.305,98.158,98.287,0.112,+0.11%,0
"2025-08-11 03:00",98.215,98.236,98.14,98.175,-0.04,-0.04%,0
"2025-08-11 02:00",98.119,98.228,98.111,98.215,0.096,+0.10%,0
"2025-08-11 01:00",98.077,98.123,98.04,98.119,0.041,+0.04%,0
"2025-08-11 00:00",98.059,98.088,98.056,98.078,0.018,+0.02%,0
"2025-08-10 23:00",98.06,98.065,98.034,98.06,0,0.00%,0
"2025-08-10 22:00",98.107,98.118,98.038,98.06,-0.048,-0.05%,0
"2025-08-10 21:00",98.16,98.16,98.09,98.108,-0.053,-0.05%,0
"2025-08-10 20:00",98.235,98.248,98.161,98.161,-0.075,-0.08%,0
"2025-08-10 19:00",98.234,98.275,98.219,98.236,0.006,+0.01%,0
"2025-08-10 18:00",98.249,98.263,98.211,98.23,-0.02,-0.02%,0
"2025-08-10 17:00",98.237,99.32,98.208,98.25,-0.015,-0.02%,0
"Downloaded from Barchart.com as of 09-13-2025 05:19pm CDT"
