Time,Open,High,Low,Last,Change,%Change,Volume
"2025-09-09 00:36",97.329,97.331,97.283,97.291,-0.038,-0.04%,0
"2025-09-09 00:24",97.333,97.336,97.313,97.329,-0.004,0.00%,0
"2025-09-09 00:12",97.316,97.342,97.311,97.333,0.018,+0.02%,0
"2025-09-09 00:00",97.333,97.343,97.303,97.315,-0.018,-0.02%,0
"2025-09-08 23:48",97.339,97.339,97.318,97.333,-0.006,-0.01%,0
"2025-09-08 23:36",97.361,97.366,97.339,97.339,-0.022,-0.02%,0
"2025-09-08 23:24",97.382,97.384,97.354,97.361,-0.022,-0.02%,0
"2025-09-08 23:12",97.402,97.403,97.382,97.383,-0.019,-0.02%,0
"2025-09-08 23:00",97.423,97.425,97.4,97.402,-0.021,-0.02%,0
"2025-09-08 22:48",97.415,97.428,97.409,97.423,0.009,+0.01%,0
"2025-09-08 22:36",97.407,97.416,97.403,97.414,0.007,+0.01%,0
"2025-09-08 22:24",97.411,97.424,97.403,97.407,-0.004,0.00%,0
"2025-09-08 22:12",97.391,97.411,97.391,97.411,0.02,+0.02%,0
"2025-09-08 22:00",97.387,97.408,97.38,97.391,0.004,0.00%,0
"2025-09-08 21:48",97.363,97.393,97.36,97.387,0.024,+0.02%,0
"2025-09-08 21:36",97.362,97.369,97.351,97.363,0.002,0.00%,0
"2025-09-08 21:24",97.357,97.363,97.346,97.361,0.004,0.00%,0
"2025-09-08 21:12",97.335,97.359,97.327,97.357,0.023,+0.02%,0
"2025-09-08 21:00",97.341,97.344,97.326,97.334,-0.007,-0.01%,0
"2025-09-08 20:48",97.378,97.379,97.324,97.341,-0.036,-0.04%,0
"2025-09-08 20:36",97.39,97.394,97.374,97.377,-0.013,-0.01%,0
"2025-09-08 20:24",97.405,97.42,97.39,97.39,-0.015,-0.02%,0
"2025-09-08 20:12",97.381,97.408,97.375,97.405,0.024,+0.02%,0
"2025-09-08 20:00",97.378,97.393,97.367,97.381,0.002,0.00%,0
"2025-09-08 19:48",97.354,97.383,97.354,97.379,0.025,+0.03%,0
"2025-09-08 19:36",97.349,97.382,97.349,97.354,0.005,+0.01%,0
"2025-09-08 19:24",97.369,97.372,97.346,97.349,-0.02,-0.02%,0
"2025-09-08 19:12",97.4,97.41,97.369,97.369,-0.031,-0.03%,0
"2025-09-08 19:00",97.396,97.423,97.396,97.4,0.004,0.00%,0
"2025-09-08 18:48",97.39,97.4,97.39,97.396,0.006,+0.01%,0
"2025-09-08 18:36",97.381,97.394,97.38,97.39,-0.05,-0.05%,0
"2025-09-08 17:00",97.454,97.455,97.438,97.44,-0.015,-0.02%,0
"2025-09-08 16:48",97.467,97.473,97.452,97.455,-0.011,-0.01%,0
"2025-09-08 16:36",97.462,97.469,97.455,97.466,0.003,0.00%,0
"2025-09-08 16:24",97.462,97.469,97.461,97.463,0,0.00%,0
"2025-09-08 16:12",97.455,97.463,97.453,97.463,0.008,+0.01%,0
"2025-09-08 16:00",97.448,97.46,97.442,97.455,0.007,+0.01%,0
"2025-09-08 15:48",97.464,97.464,97.446,97.448,-0.016,-0.02%,0
"2025-09-08 15:36",97.443,97.471,97.441,97.464,0.022,+0.02%,0
"2025-09-08 15:24",97.459,97.466,97.442,97.442,-0.017,-0.02%,0
"2025-09-08 15:12",97.451,97.463,97.451,97.459,0.008,+0.01%,0
"2025-09-08 15:00",97.441,97.452,97.435,97.451,0.01,+0.01%,0
"2025-09-08 14:48",97.441,97.443,97.424,97.441,0,0.00%,0
"2025-09-08 14:36",97.449,97.455,97.439,97.441,-0.008,-0.01%,0
"2025-09-08 14:24",97.435,97.45,97.433,97.449,0.013,+0.01%,0
"2025-09-08 14:12",97.44,97.44,97.418,97.436,-0.004,0.00%,0
"2025-09-08 14:00",97.454,97.459,97.429,97.44,-0.014,-0.01%,0
"2025-09-08 13:48",97.503,97.508,97.446,97.454,-0.048,-0.05%,0
"2025-09-08 13:36",97.524,97.527,97.498,97.502,-0.022,-0.02%,0
"2025-09-08 13:24",97.534,97.538,97.517,97.524,-0.01,-0.01%,0
"2025-09-08 13:12",97.571,97.58,97.521,97.534,-0.037,-0.04%,0
"2025-09-08 13:00",97.626,97.626,97.567,97.571,-0.055,-0.06%,0
"2025-09-08 12:48",97.612,97.627,97.592,97.626,0.015,+0.02%,0
"2025-09-08 12:36",97.587,97.613,97.581,97.611,0.024,+0.02%,0
"2025-09-08 12:24",97.603,97.604,97.571,97.587,-0.016,-0.02%,0
"2025-09-08 12:12",97.638,97.639,97.603,97.603,-0.035,-0.04%,0
"2025-09-08 12:00",97.604,97.647,97.604,97.638,0.034,+0.03%,0
"2025-09-08 11:48",97.629,97.629,97.597,97.604,-0.025,-0.03%,0
"2025-09-08 11:36",97.598,97.654,97.598,97.629,0.031,+0.03%,0
"2025-09-08 11:24",97.547,97.604,97.545,97.598,0.052,+0.05%,0
"2025-09-08 11:12",97.531,97.552,97.531,97.546,0.015,+0.02%,0
"2025-09-08 11:00",97.53,97.541,97.518,97.531,0,0.00%,0
"2025-09-08 10:48",97.559,97.561,97.522,97.531,-0.029,-0.03%,0
"2025-09-08 10:36",97.556,97.574,97.533,97.56,0.005,+0.01%,0
"2025-09-08 10:24",97.531,97.561,97.527,97.555,0.024,+0.02%,0
"2025-09-08 10:12",97.543,97.548,97.517,97.531,-0.012,-0.01%,0
"2025-09-08 10:00",97.584,97.599,97.536,97.543,-0.041,-0.04%,0
"2025-09-08 09:48",97.601,97.613,97.583,97.584,-0.017,-0.02%,0
"2025-09-08 09:36",97.57,97.628,97.544,97.601,0.031,+0.03%,0
"2025-09-08 09:24",97.614,97.614,97.551,97.57,-0.044,-0.05%,0
"2025-09-08 09:12",97.566,97.621,97.565,97.614,0.048,+0.05%,0
"2025-09-08 09:00",97.536,97.567,97.515,97.566,0.03,+0.03%,0
"2025-09-08 08:48",97.53,97.544,97.507,97.536,0.007,+0.01%,0
"2025-09-08 08:36",97.491,97.537,97.481,97.529,0.039,+0.04%,0
"2025-09-08 08:24",97.519,97.53,97.472,97.49,-0.03,-0.03%,0
"2025-09-08 08:12",97.531,97.537,97.487,97.52,-0.011,-0.01%,0
"2025-09-08 08:00",97.594,97.605,97.53,97.531,-0.064,-0.07%,0
"2025-09-08 07:48",97.632,97.638,97.565,97.595,-0.037,-0.04%,0
"2025-09-08 07:36",97.644,97.659,97.608,97.632,-0.012,-0.01%,0
"2025-09-08 07:24",97.697,97.712,97.644,97.644,-0.051,-0.05%,0
"2025-09-08 07:12",97.679,97.695,97.652,97.695,0.016,+0.02%,0
"2025-09-08 07:00",97.666,97.69,97.64,97.679,0.013,+0.01%,0
"2025-09-08 06:48",97.652,97.692,97.647,97.666,0.014,+0.01%,0
"2025-09-08 06:36",97.651,97.664,97.641,97.652,0.001,0.00%,0
"2025-09-08 06:24",97.669,97.701,97.651,97.651,-0.018,-0.02%,0
"2025-09-08 06:12",97.677,97.682,97.654,97.669,-0.007,-0.01%,0
"2025-09-08 06:00",97.685,97.687,97.661,97.676,-0.008,-0.01%,0
"2025-09-08 05:48",97.703,97.704,97.674,97.684,-0.02,-0.02%,0
"2025-09-08 05:36",97.729,97.73,97.694,97.704,-0.026,-0.03%,0
"2025-09-08 05:24",97.742,97.751,97.723,97.73,-0.011,-0.01%,0
"2025-09-08 05:12",97.74,97.757,97.727,97.741,0.002,0.00%,0
"2025-09-08 05:00",97.729,97.756,97.729,97.739,0.01,+0.01%,0
"2025-09-08 04:48",97.699,97.729,97.695,97.729,0.03,+0.03%,0
"2025-09-08 04:36",97.71,97.71,97.697,97.699,-0.011,-0.01%,0
"2025-09-08 04:24",97.716,97.742,97.706,97.71,-0.006,-0.01%,0
"2025-09-08 04:12",97.738,97.744,97.698,97.716,-0.023,-0.02%,0
"2025-09-08 04:00",97.678,97.739,97.676,97.739,0.061,+0.06%,0
"2025-09-08 03:48",97.674,97.714,97.671,97.678,0.004,0.00%,0
"2025-09-08 03:36",97.682,97.693,97.665,97.674,-0.008,-0.01%,0
"2025-09-08 03:24",97.658,97.696,97.648,97.682,0.021,+0.02%,0
"2025-09-08 03:12",97.624,97.662,97.596,97.661,0.038,+0.04%,0
"2025-09-08 03:00",97.646,97.649,97.579,97.623,-0.022,-0.02%,0
"2025-09-08 02:48",97.658,97.672,97.645,97.645,-0.011,-0.01%,0
"2025-09-08 02:36",97.664,97.665,97.632,97.656,-0.009,-0.01%,0
"2025-09-08 02:24",97.7,97.716,97.665,97.665,-0.034,-0.03%,0
"2025-09-08 02:12",97.717,97.72,97.672,97.699,-0.018,-0.02%,0
"2025-09-08 02:00",97.71,97.748,97.686,97.717,0.007,+0.01%,0
"2025-09-08 01:48",97.78,97.78,97.706,97.71,-0.069,-0.07%,0
"2025-09-08 01:36",97.782,97.806,97.758,97.779,-0.003,0.00%,0
"2025-09-08 01:24",97.814,97.819,97.753,97.782,-0.033,-0.03%,0
"2025-09-08 01:12",97.786,97.831,97.754,97.815,0.027,+0.03%,0
"2025-09-08 01:00",97.824,97.825,97.788,97.788,-0.036,-0.04%,0
"2025-09-08 00:48",97.814,97.824,97.801,97.824,0.009,+0.01%,0
"2025-09-08 00:36",97.784,97.822,97.778,97.815,0.031,+0.03%,0
"2025-09-08 00:24",97.807,97.808,97.783,97.784,-0.023,-0.02%,0
"2025-09-08 00:12",97.814,97.821,97.798,97.807,-0.008,-0.01%,0
"2025-09-08 00:00",97.841,97.844,97.809,97.815,-0.025,-0.03%,0
"2025-09-07 23:48",97.835,97.841,97.83,97.84,0.005,+0.01%,0
"2025-09-07 23:36",97.844,97.851,97.833,97.835,-0.009,-0.01%,0
"2025-09-07 23:24",97.852,97.855,97.839,97.844,-0.008,-0.01%,0
"2025-09-07 23:12",97.876,97.896,97.851,97.852,-0.024,-0.02%,0
"2025-09-07 23:00",97.865,97.876,97.856,97.876,0.012,+0.01%,0
"2025-09-07 22:48",97.869,97.873,97.856,97.864,-0.005,-0.01%,0
"2025-09-07 22:36",97.842,97.872,97.839,97.869,0.027,+0.03%,0
"2025-09-07 22:24",97.82,97.848,97.812,97.842,0.022,+0.02%,0
"2025-09-07 22:12",97.825,97.837,97.815,97.82,-0.005,-0.01%,0
"2025-09-07 22:00",97.817,97.835,97.81,97.825,0.007,+0.01%,0
"2025-09-07 21:48",97.821,97.825,97.81,97.818,-0.003,0.00%,0
"2025-09-07 21:36",97.838,97.842,97.807,97.821,-0.017,-0.02%,0
"2025-09-07 21:24",97.85,97.855,97.833,97.838,-0.011,-0.01%,0
"2025-09-07 21:12",97.838,97.852,97.826,97.849,0.011,+0.01%,0
"2025-09-07 21:00",97.839,97.842,97.813,97.838,-0.002,0.00%,0
"2025-09-07 20:48",97.86,97.881,97.825,97.84,-0.02,-0.02%,0
"2025-09-07 20:36",97.858,97.889,97.85,97.86,0.003,0.00%,0
"2025-09-07 20:24",97.885,97.895,97.851,97.857,-0.027,-0.03%,0
"2025-09-07 20:12",97.856,97.89,97.843,97.884,0.026,+0.03%,0
"2025-09-07 20:00",97.864,97.864,97.831,97.858,-0.006,-0.01%,0
"2025-09-07 19:48",97.912,97.916,97.86,97.864,-0.049,-0.05%,0
"2025-09-07 19:36",97.922,97.923,97.903,97.913,-0.009,-0.01%,0
"2025-09-07 19:24",97.918,97.922,97.893,97.922,0.004,0.00%,0
"2025-09-07 19:12",97.921,97.942,97.917,97.918,-0.004,0.00%,0
"2025-09-07 19:00",97.862,97.934,97.852,97.922,0.06,+0.06%,0
"2025-09-07 18:48",97.861,97.877,97.844,97.862,0.001,0.00%,0
"2025-09-07 18:36",97.889,97.891,97.843,97.861,-0.028,-0.03%,0
"2025-09-07 18:24",97.881,97.893,97.877,97.889,0.008,+0.01%,0
"2025-09-07 18:12",97.887,97.899,97.881,97.881,-0.006,-0.01%,0
"2025-09-07 18:00",97.909,97.91,97.867,97.887,-0.022,-0.02%,0
"2025-09-07 17:48",97.915,97.916,97.901,97.909,-0.005,-0.01%,0
"2025-09-07 17:36",97.877,97.925,97.877,97.914,0.037,+0.04%,0
"2025-09-07 17:24",97.856,97.886,97.843,97.877,0.021,+0.02%,0
"2025-09-07 17:12",97.848,97.874,97.846,97.856,0.008,+0.01%,0
"2025-09-07 17:00",97.79,97.863,97.786,97.848,0.112,+0.11%,0
"Downloaded from Barchart.com as of 09-18-2025 03:39am CDT"
